model,src_lang,dst_lang,test_src,train_src,Example Selection,file ID,BLEU,COMET,chrF,chrF++,CMT-22,CMT-QE,off-target rate
XGLM 7B,eng_Latn,rus_Cyrl,FLORES,Paracrawl,Random Selection,A7OEVGO66T,17.99,0.3355,46.17,43.14,0.8011,0.2309,1.09
XGLM 7B,eng_Latn,rus_Cyrl,FLORES,Paracrawl,BM25,W0OBRA6CER,18.43,0.376,46.61,43.53,0.8145,0.2749,1.78
XGLM 7B,eng_Latn,rus_Cyrl,FLORES,Paracrawl,R-BM25,RVQYO048VG,18.54,0.3959,46.94,43.83,0.82,0.2907,1.28
XGLM 7B,eng_Latn,rus_Cyrl,FLORES,Paracrawl,CmtQE-InSrc,IFFQNX43BA,18.27,0.3992,46.53,43.41,0.8219,0.3052,1.09
XGLM 7B,eng_Latn,rus_Cyrl,FLORES,Paracrawl,CmtQE-InTgt,NGRRMBO47R,17.94,0.4446,46.34,43.23,0.8327,0.3464,0.99
XGLM 7B,eng_Latn,rus_Cyrl,FLORES,Paracrawl,CmtQE-SrcTgt,2A0HKJ575U,17.85,0.4057,46.25,43.13,0.8273,0.3306,1.58
XGLM 7B,eng_Latn,rus_Cyrl,FLORES,Paracrawl,chrF-InSrc,N6MU5IQG53,18.08,0.3673,46.43,43.33,0.814,0.2727,2.27
XGLM 7B,eng_Latn,rus_Cyrl,FLORES,Paracrawl,LaBSE-InSrc,TSGZVMCGC3,18.76,0.3939,46.83,43.76,0.8196,0.2887,1.68
XGLM 7B,eng_Latn,rus_Cyrl,FLORES,Paracrawl,LaBSE-InTgt,R3ZGWSYR9B,19.01,0.4093,47.24,44.13,0.8223,0.2982,1.48
XGLM 7B,eng_Latn,rus_Cyrl,FLORES,Paracrawl,LaBSE-SrcTgt,DAS6TADTTN,18.14,0.3176,45.97,42.9,0.8013,0.2293,3.95
XGLM 7B,eng_Latn,rus_Cyrl,FLORES,Paracrawl,ScAvg (3-feat),R95D8MR9MZ,18.43,0.3942,47.15,43.97,0.8178,0.2801,1.38
XGLM 7B,eng_Latn,rus_Cyrl,FLORES,Paracrawl,CTQ (3-feat),6XH6X9VDIX,19.13,0.4188,47.47,44.36,0.8243,0.3036,1.09
XGLM 7B,eng_Latn,rus_Cyrl,FLORES,Paracrawl,PPL-SrcTgt,HJSU3FWW3C,18.13,0.3771,46.21,43.1,0.8154,0.2819,1.38
XGLM 7B,eng_Latn,rus_Cyrl,FLORES,Paracrawl,PPL-SrcTgtIn,NX9N2FAEK9,18.51,0.376,46.72,43.56,0.8159,0.2765,1.28
XGLM 7B,eng_Latn,rus_Cyrl,FLORES,Paracrawl,NumTokSrc,8OFS6VGRM1,17.98,0.352,46.02,42.91,0.809,0.263,0.79
XGLM 7B,eng_Latn,rus_Cyrl,FLORES,Paracrawl,NumTokTgt,KEE3B4HWTZ,17.81,0.357,46.23,43.08,0.8112,0.2631,1.28
XGLM 7B,eng_Latn,rus_Cyrl,FLORES,Paracrawl,CTQ (ours),IVZAOAW53S,18.69,0.4426,47.18,44.04,0.831,0.3362,0.79
